tweet_id,favorites,retweets,date_time
678410210315247616,4339,1901,2015-12-20 03:02:53+00:00
678399652199309312,81088,33108,2015-12-20 02:20:55+00:00
678396796259975168,1629,442,2015-12-20 02:09:34+00:00
678389028614488064,1916,439,2015-12-20 01:38:42+00:00
678380236862578688,2497,949,2015-12-20 01:03:46+00:00
678341075375947776,1767,561,2015-12-19 22:28:09+00:00
678334497360859136,1332,270,2015-12-19 22:02:01+00:00
678278586130948096,11702,6326,2015-12-19 18:19:51+00:00
678255464182861824,1619,387,2015-12-19 16:47:58+00:00
678023323247357953,1969,399,2015-12-19 01:25:31+00:00
678021115718029313,14052,6647,2015-12-19 01:16:45+00:00
677961670166224897,3495,1758,2015-12-18 21:20:32+00:00
677918531514703872,1381,427,2015-12-18 18:29:07+00:00
677895101218201600,4936,2193,2015-12-18 16:56:01+00:00
677716515794329600,3129,1004,2015-12-18 05:06:23+00:00
677700003327029250,3466,1510,2015-12-18 04:00:46+00:00
677698403548192770,1256,334,2015-12-18 03:54:25+00:00
677687604918272002,2536,880,2015-12-18 03:11:30+00:00
677673981332312066,3398,1557,2015-12-18 02:17:22+00:00
677662372920729601,1983,1010,2015-12-18 01:31:14+00:00
677644091929329666,1895,832,2015-12-18 00:18:36+00:00
677573743309385728,2178,752,2015-12-17 19:39:03+00:00
677565715327688705,1323,474,2015-12-17 19:07:09+00:00
677557565589463040,2490,1204,2015-12-17 18:34:46+00:00
677547928504967168,7063,3789,2015-12-17 17:56:29+00:00
677530072887205888,1091,235,2015-12-17 16:45:31+00:00
677335745548390400,3097,1858,2015-12-17 03:53:20+00:00
677334615166730240,1378,301,2015-12-17 03:48:51+00:00
677331501395156992,1116,244,2015-12-17 03:36:28+00:00
677328882937298944,3702,1558,2015-12-17 03:26:04+00:00
677314812125323265,1675,552,2015-12-17 02:30:09+00:00
677301033169788928,1259,426,2015-12-17 01:35:24+00:00
677269281705472000,2035,730,2015-12-16 23:29:14+00:00
677228873407442944,3612,1701,2015-12-16 20:48:40+00:00
677187300187611136,2790,957,2015-12-16 18:03:28+00:00
676975532580409345,2835,1113,2015-12-16 04:01:59+00:00
676957860086095872,2261,837,2015-12-16 02:51:45+00:00
676949632774234114,1335,412,2015-12-16 02:19:04+00:00
676948236477857792,2219,900,2015-12-16 02:13:31+00:00
676946864479084545,1749,389,2015-12-16 02:08:04+00:00
676942428000112642,2109,782,2015-12-16 01:50:26+00:00
676936541936185344,12946,5073,2015-12-16 01:27:03+00:00
676916996760600576,3017,1857,2015-12-16 00:09:23+00:00
676897532954456065,2294,743,2015-12-15 22:52:02+00:00
676864501615042560,2134,736,2015-12-15 20:40:47+00:00
676821958043033607,23443,16172,2015-12-15 17:51:44+00:00
676819651066732545,1838,692,2015-12-15 17:42:34+00:00
676811746707918848,1444,437,2015-12-15 17:11:09+00:00
676776431406465024,5086,2082,2015-12-15 14:50:49+00:00
676617503762681856,2951,1013,2015-12-15 04:19:18+00:00
676613908052996102,1097,203,2015-12-15 04:05:01+00:00
676606785097199616,1914,454,2015-12-15 03:36:42+00:00
676603393314578432,1181,395,2015-12-15 03:23:14+00:00
676593408224403456,4648,2228,2015-12-15 02:43:33+00:00
676590572941893632,928,129,2015-12-15 02:32:17+00:00
676588346097852417,2353,819,2015-12-15 02:23:26+00:00
676582956622721024,1222,288,2015-12-15 02:02:01+00:00
676575501977128964,2635,1155,2015-12-15 01:32:24+00:00
676533798876651520,1903,573,2015-12-14 22:46:41+00:00
676496375194980353,1541,548,2015-12-14 20:17:59+00:00
676470639084101634,11789,4831,2015-12-14 18:35:43+00:00
676440007570247681,1741,689,2015-12-14 16:34:00+00:00
676430933382295552,1415,358,2015-12-14 15:57:56+00:00
676263575653122048,2109,568,2015-12-14 04:52:55+00:00
676237365392908289,1241,300,2015-12-14 03:08:46+00:00
676219687039057920,76692,32039,2015-12-14 01:58:31+00:00
676215927814406144,1768,602,2015-12-14 01:43:35+00:00
676191832485810177,2313,1065,2015-12-14 00:07:50+00:00
676146341966438401,1943,681,2015-12-13 21:07:04+00:00
676121918416756736,2186,1196,2015-12-13 19:30:01+00:00
676101918813499392,2854,1201,2015-12-13 18:10:33+00:00
676098748976615425,3051,1478,2015-12-13 17:57:57+00:00
676089483918516224,1332,446,2015-12-13 17:21:08+00:00
675898130735476737,1644,590,2015-12-13 04:40:46+00:00
675891555769696257,2158,891,2015-12-13 04:14:39+00:00
675888385639251968,2410,989,2015-12-13 04:02:03+00:00
675878199931371520,4218,1441,2015-12-13 03:21:34+00:00
675870721063669760,1659,590,2015-12-13 02:51:51+00:00
675853064436391936,2722,1337,2015-12-13 01:41:41+00:00
675849018447167488,945,150,2015-12-13 01:25:37+00:00
675845657354215424,2303,910,2015-12-13 01:12:15+00:00
675822767435051008,1544,553,2015-12-12 23:41:18+00:00
675820929667219457,1060,238,2015-12-12 23:34:00+00:00
675798442703122432,10382,3479,2015-12-12 22:04:39+00:00
675781562965868544,1645,489,2015-12-12 20:57:34+00:00
675740360753160193,1185,357,2015-12-12 18:13:51+00:00
675710890956750848,1911,842,2015-12-12 16:16:45+00:00
675707330206547968,2003,714,2015-12-12 16:02:36+00:00
675706639471788032,649,101,2015-12-12 15:59:51+00:00
675534494439489536,1840,431,2015-12-12 04:35:48+00:00
675531475945709568,1198,392,2015-12-12 04:23:49+00:00
675522403582218240,1051,294,2015-12-12 03:47:46+00:00
675517828909424640,1306,471,2015-12-12 03:29:35+00:00
675501075957489664,17338,5964,2015-12-12 02:23:01+00:00
675497103322386432,3178,1334,2015-12-12 02:07:14+00:00
675489971617296384,1314,616,2015-12-12 01:38:53+00:00
675483430902214656,1854,996,2015-12-12 01:12:54+00:00
675432746517426176,1538,587,2015-12-11 21:51:30+00:00
675372240448454658,1705,525,2015-12-11 17:51:04+00:00
675362609739206656,1060,236,2015-12-11 17:12:48+00:00
675354435921575936,33055,17648,2015-12-11 16:40:19+00:00
675349384339542016,3960,2318,2015-12-11 16:20:15+00:00
675334060156301312,2802,1330,2015-12-11 15:19:21+00:00
675166823650848770,3645,1652,2015-12-11 04:14:49+00:00
675153376133427200,6334,2662,2015-12-11 03:21:23+00:00
675149409102012420,3764,1721,2015-12-11 03:05:37+00:00
675147105808306176,948,242,2015-12-11 02:56:28+00:00
675146535592706048,1201,318,2015-12-11 02:54:12+00:00
675145476954566656,2156,923,2015-12-11 02:49:59+00:00
675135153782571009,1307,505,2015-12-11 02:08:58+00:00
675113801096802304,1963,803,2015-12-11 00:44:07+00:00
675111688094527488,974,259,2015-12-11 00:35:44+00:00
675109292475830276,2818,1157,2015-12-11 00:26:12+00:00
675047298674663426,1068,336,2015-12-10 20:19:52+00:00
675015141583413248,2724,1226,2015-12-10 18:12:05+00:00
675006312288268288,997,232,2015-12-10 17:37:00+00:00
675003128568291329,1568,484,2015-12-10 17:24:21+00:00
674999807681908736,2264,1123,2015-12-10 17:11:09+00:00
674805413498527744,863,363,2015-12-10 04:18:42+00:00
674800520222154752,3044,879,2015-12-10 03:59:15+00:00
674793399141146624,2522,1110,2015-12-10 03:30:58+00:00
674790488185167872,1116,253,2015-12-10 03:19:24+00:00
674788554665512960,821,216,2015-12-10 03:11:43+00:00
674781762103414784,2014,1230,2015-12-10 02:44:43+00:00
674774481756377088,1126,484,2015-12-10 02:15:47+00:00
674767892831932416,1835,809,2015-12-10 01:49:36+00:00
674764817387900928,790,242,2015-12-10 01:37:23+00:00
674754018082705410,1369,459,2015-12-10 00:54:28+00:00
674752233200820224,1469,480,2015-12-10 00:47:23+00:00
674743008475090944,1416,563,2015-12-10 00:10:43+00:00
674742531037511680,492,51,2015-12-10 00:08:50+00:00
674739953134403584,1116,399,2015-12-09 23:58:35+00:00
674737130913071104,648,96,2015-12-09 23:47:22+00:00
674690135443775488,1150,479,2015-12-09 20:40:38+00:00
674670581682434048,1608,665,2015-12-09 19:22:56+00:00
674664755118911488,928,260,2015-12-09 18:59:46+00:00
674646392044941312,1447,503,2015-12-09 17:46:48+00:00
674644256330530816,1028,273,2015-12-09 17:38:19+00:00
674638615994089473,1693,594,2015-12-09 17:15:54+00:00
674632714662858753,1511,593,2015-12-09 16:52:27+00:00
674606911342424069,943,102,2015-12-09 15:09:55+00:00
674468880899788800,6260,2103,2015-12-09 06:01:26+00:00
674447403907457024,1066,363,2015-12-09 04:36:06+00:00
674436901579923456,1120,398,2015-12-09 03:54:22+00:00
674422304705744896,1442,550,2015-12-09 02:56:22+00:00
674416750885273600,682,143,2015-12-09 02:34:18+00:00
674410619106390016,1204,475,2015-12-09 02:09:56+00:00
674394782723014656,1514,584,2015-12-09 01:07:00+00:00
674372068062928900,851,321,2015-12-08 23:36:44+00:00
674330906434379776,565,74,2015-12-08 20:53:11+00:00
674318007229923329,1425,525,2015-12-08 20:01:55+00:00
674307341513269249,11382,7092,2015-12-08 19:19:32+00:00
674291837063053312,14796,5999,2015-12-08 18:17:56+00:00
674271431610523648,1575,744,2015-12-08 16:56:51+00:00
674269164442398721,907,228,2015-12-08 16:47:50+00:00
674265582246694913,1657,866,2015-12-08 16:33:36+00:00
674262580978937856,1306,463,2015-12-08 16:21:41+00:00
674255168825880576,1472,565,2015-12-08 15:52:13+00:00
674082852460433408,756,173,2015-12-08 04:27:30+00:00
674075285688614912,986,294,2015-12-08 03:57:26+00:00
674063288070742018,6388,2247,2015-12-08 03:09:46+00:00
674053186244734976,3331,1323,2015-12-08 02:29:37+00:00
674051556661161984,1448,496,2015-12-08 02:23:09+00:00
674045139690631169,1425,649,2015-12-08 01:57:39+00:00
674042553264685056,727,131,2015-12-08 01:47:22+00:00
674038233588723717,1106,422,2015-12-08 01:30:12+00:00
674036086168010753,850,216,2015-12-08 01:21:40+00:00
674024893172875264,1790,1243,2015-12-08 00:37:11+00:00
674019345211760640,1133,305,2015-12-08 00:15:09+00:00
674014384960745472,1564,658,2015-12-07 23:55:26+00:00
674008982932058114,1199,364,2015-12-07 23:33:58+00:00
673956914389192708,1953,973,2015-12-07 20:07:04+00:00
673919437611909120,1168,376,2015-12-07 17:38:09+00:00
673906403526995968,3201,1644,2015-12-07 16:46:21+00:00
673887867907739649,932,254,2015-12-07 15:32:42+00:00
673716320723169284,3086,759,2015-12-07 04:11:02+00:00
673715861853720576,3553,2111,2015-12-07 04:09:13+00:00
673711475735838725,1040,302,2015-12-07 03:51:47+00:00
673709992831262724,849,278,2015-12-07 03:45:53+00:00
673708611235921920,1087,296,2015-12-07 03:40:24+00:00
673707060090052608,1099,398,2015-12-07 03:34:14+00:00
673705679337693185,1255,407,2015-12-07 03:28:45+00:00
673700254269775872,1445,577,2015-12-07 03:07:12+00:00
673697980713705472,3801,1983,2015-12-07 02:58:09+00:00
673689733134946305,1737,662,2015-12-07 02:25:23+00:00
673688752737402881,1269,503,2015-12-07 02:21:29+00:00
673686845050527744,1440,447,2015-12-07 02:13:55+00:00
673680198160809984,1373,476,2015-12-07 01:47:30+00:00
673662677122719744,1255,367,2015-12-07 00:37:52+00:00
673656262056419329,720,246,2015-12-07 00:12:23+00:00
673636718965334016,1101,365,2015-12-06 22:54:44+00:00
673612854080196609,1595,731,2015-12-06 21:19:54+00:00
673583129559498752,1186,370,2015-12-06 19:21:47+00:00
673580926094458881,836,274,2015-12-06 19:13:01+00:00
673576835670777856,1389,569,2015-12-06 18:56:46+00:00
673363615379013632,1024,309,2015-12-06 04:49:31+00:00
673359818736984064,1453,680,2015-12-06 04:34:25+00:00
673355879178194945,1490,583,2015-12-06 04:18:46+00:00
673352124999274496,1653,543,2015-12-06 04:03:51+00:00
673350198937153538,747,217,2015-12-06 03:56:12+00:00
673345638550134785,2510,1287,2015-12-06 03:38:05+00:00
673343217010679808,970,274,2015-12-06 03:28:27+00:00
673342308415348736,1269,592,2015-12-06 03:24:51+00:00
673320132811366400,13471,8049,2015-12-06 01:56:44+00:00
